"sample","concentration","start","stop","slope","factor_slope","absorption_start","absorption_stop","sd"
"50uM Q2",50,0.65,0.9,0.4753,0.4753,0.1246,0.2434,0.00083889
"50uM Q2",50,1.6,1.9,0.0086,0.0086,0.457,0.4592,0.00023719
"25uM Q2",25,0.65,0.9,0.532,0.532,0.0468,0.1803,0.00094605
"25uM Q2",25,1.6,1.9,0.0097,0.0097,0.4273,0.431,0.00033399
"10uM Q2",10,0.65,0.9,0.5101,0.5101,0.0934,0.2212,0.00089424
"10uM Q2",10,1.6,1.9,0.012,0.012,0.451,0.4546,0.00026979
"5uM Q2",5,0.65,0.9,0.516,0.516,0.0869,0.2156,0.00090435
"5uM Q2",5,1.6,1.9,0.011,0.011,0.4466,0.4501,0.0003259
"1uM Q2",1,0.65,0.9,0.5564,0.5564,0.0758,0.2148,0.0010779
"1uM Q2",1,1.6,1.9,0.0267,0.0267,0.4673,0.4748,0.00041019
"0.2uM Q2",0.2,0.65,0.9,0.4546,0.4546,0.0602,0.1739,0.00081942
"0.2uM Q2",0.2,1.6,1.9,0.0491,0.0491,0.3884,0.4026,0.00042428
"0.1uM Q2",0.1,0.65,0.9,0.5429,0.5429,0.1762,0.3114,0.0016279
"0.1uM Q2",0.1,1.6,1.9,0.0669,0.0669,0.5571,0.5787,0.0010707
"0.05uM Q2",0.05,0.65,0.9,0.4911,0.4911,0.1048,0.2282,0.00095721
"0.05uM Q2",0.05,1.6,1.9,0.165,0.165,0.459,0.5083,0.0009334
"0.01 uM Q2",0.01,0.65,0.9,0.4855,0.4855,0.0832,0.2047,0.00091594
"0.01 uM Q2",0.01,1.6,1.9,0.2042,0.2042,0.4436,0.5051,0.00082663
"SOD",0,1.8,2.2,-0.0023,-0.0023,0.5351,0.5322,0.00066163
