"measurement","fluorescence","sample_volume","step","stage_order","stage","sample"
1,8585,33.37,"d1s6",1,"Membrane extraction","Cell pellet"
2,8393,33.37,"d1s8",1,"Membrane extraction","Maximator supernatant"
3,43769,4,"d1s11",1,"Membrane extraction","Membranes"
4,5002,11.1,"d3s8",2,"Affinity chromatography","Ni beads flowthrough"
5,751,10,"d3s9",2,"Affinity chromatography","Ni beads wash"
6,3178,10,"d3s10",2,"Affinity chromatography","Ni beads wash 5mM Hist"
7,7435,17,"d3s10",2,"Affinity chromatography","Ni beads elution"
8,3629,10.3,"d4",3,"Reverse IMAC","Before rev IMAC"
9,813,10.27,"d4",3,"Reverse IMAC","rev IMAC Flowthrough"
10,2997,10,"d4",3,"Reverse IMAC","rev IMAC Elution"
